Title,puplished_date,views,likes,favorites,month,year
"BOYACI GİBİ OTURDU, OYUNCU GİBİ KALKTI!! ŞİMDİ NETFLİX DÜŞÜNSÜN !?",2024-11-16 11:00:53+00:00,12033,335,0,Nov,2024
Bazen tekrar yaparsın,2024-11-10 08:58:41+00:00,60784983,723949,0,Nov,2024
Bazen tazelersin @Marulkafaa 🤩 #marulkafa #teambarberstown #barberstowntv #barberstown,2024-11-07 13:29:16+00:00,17241,594,0,Nov,2024
BU ADAMIN HAYATINI DEĞİŞTİREN SAÇ VE SAKAL KESİMİ! İNANILMAZ ÖNCESİ VE SONRASI,2024-11-06 16:09:02+00:00,12347,329,0,Nov,2024
Bazen kendini görürsün😳💈,2024-11-02 14:32:20+00:00,13338,602,0,Nov,2024
Bazen saçlar anlatır😳💈,2024-10-19 16:40:02+00:00,18478,545,0,Oct,2024
Bazen soluk bir geçiş 😳💈,2024-10-17 11:03:51+00:00,24788,744,0,Oct,2024
ÇATIDA YAŞAYAN ADAMI ZİYARET AKILLARA ZARAR BİR DEĞİŞİM!!?,2024-10-09 15:01:03+00:00,8869,304,0,Oct,2024
Bazen yanları al üstler dağınık kalsın😳💈,2024-10-07 20:32:38+00:00,12202,377,0,Oct,2024
Bazen her saç modeli yakışır 😳💈,2024-10-02 15:30:50+00:00,17156,550,0,Oct,2024
Bazen 3 tıraş yersin😳💈,2024-09-17 17:14:43+00:00,11778,302,0,Sep,2024
50 YAŞINA UYGUN SAÇ SAKAL MODELİ (Hair and Beard Styles Suitable for Age 50),2024-08-27 16:16:37+00:00,8916,248,0,Aug,2024
SAÇ BİR ERKEĞİN ELBİSESİ OLDUĞUNU GÖSTEREN BİR DEĞİŞİM!!?,2024-07-18 14:43:28+00:00,7633,203,0,Jul,2024
Bazen kremin etkisini anlayamazsın😳💈,2024-07-11 16:07:05+00:00,20352,450,0,Jul,2024
Bazen hızlı çözüm bulursun😳💈,2024-06-19 15:06:56+00:00,24861,685,0,Jun,2024
Bazen özgüven patlaması yaşarsın 😳💈,2024-06-13 14:54:29+00:00,28456,901,0,Jun,2024
Bazen durduramazsın 😳💈,2024-06-09 15:08:55+00:00,27496,659,0,Jun,2024
Bazen boşluğuna gelir😳💈,2024-06-08 14:06:14+00:00,90553,1284,0,Jun,2024
Bazen olmaması gereken olur😳💈,2024-06-07 15:01:15+00:00,36725,673,0,Jun,2024
Bazen istersin 😳💈,2024-06-06 16:44:23+00:00,28630,524,0,Jun,2024
Bazen bağırırsın😳💈,2024-06-03 18:26:41+00:00,23948,519,0,Jun,2024
Bazen yanlış pozisyon😳💈,2024-06-02 20:03:15+00:00,90293,1369,0,Jun,2024
Bazen kül olursun😳💈,2024-05-29 14:46:48+00:00,21490,516,0,May,2024
Bazen hiç değişmezsin😳💈,2024-05-25 17:11:44+00:00,11595,341,0,May,2024
Bazen saçların senden vazgeçer 😳💈,2024-05-23 19:12:00+00:00,24959,733,0,May,2024
Bazen yakarsın 😳💈,2024-05-21 18:38:06+00:00,34495,532,0,May,2024
Bazen usturanın sessizliği 😳💈,2024-05-20 16:56:27+00:00,18511,466,0,May,2024
Bazen ıslanırsın 😳💈,2024-05-15 16:00:11+00:00,26791,483,0,May,2024
15 YAŞINDAKİ ÇOCUĞUN YAPTIĞI MUHTEŞEM DEĞİŞİM!!?,2024-05-10 15:00:09+00:00,20034,418,0,May,2024
Bazen kaşın yarısı gider 😳💈,2024-05-04 16:08:59+00:00,60707,571,0,May,2024
Bazen parlatırsın 😳💈,2024-05-03 18:31:39+00:00,27184,900,0,May,2024
Bazen istemsiz eşlik edersin😳💈,2024-05-02 15:28:15+00:00,27977,576,0,May,2024
Bazen yeni starlar çıkartırsın ortaya😳💈,2024-05-01 11:40:19+00:00,17550,529,0,May,2024
Bazen eve erken gönderirsin 😳💈,2024-04-06 15:13:33+00:00,16243,529,0,Apr,2024
Bazen beklediğim performans 😳💈,2024-03-30 18:02:40+00:00,32444,663,0,Mar,2024
Bazen golden time 😳💈,2024-03-28 14:46:09+00:00,15426,479,0,Mar,2024
Bazen saç sakal tıraş hizmeti alırsın😳💈,2024-03-18 16:55:50+00:00,15728,455,0,Mar,2024
Bazen benzetirsin 😳💈,2024-03-07 15:03:36+00:00,23523,706,0,Mar,2024
Bazen bir tebessüm yeter😳💈,2024-02-29 10:25:20+00:00,17011,833,0,Feb,2024
EN DEĞERLİ VE EN GÜZEL TIRAŞ!!? (YÜZÜNDEKİ GÜLÜMSEME YETER) / THE MOST SPECİAL HAİR CUT,2024-02-16 14:00:40+00:00,17081,511,0,Feb,2024
Bazen yamuk makasla düz kesersin😳💈,2024-02-12 15:59:01+00:00,26629,792,0,Feb,2024
YAMUK MAKASLA DÜZ SAÇ NASIL KESİLİR!!? HOW TO CUT WITH BROKEN SCISSORS ASMR BARBER💈,2024-02-10 15:08:58+00:00,11214,252,0,Feb,2024
Bazen yaşa değil başa bakarsın😳💈,2024-02-06 14:36:31+00:00,26581,842,0,Feb,2024
Bazen çay istersin 😳💈,2024-01-26 15:42:43+00:00,33244,704,0,Jan,2024
Bazen uyursun😳💈,2024-01-17 14:31:34+00:00,30611,558,0,Jan,2024
OYUN OYNAMAKTAN SAÇINA BAŞINA DİKKAT ETMEYEN ÇOCUĞUN DEĞİŞİMİ!!?,2024-01-14 11:00:32+00:00,15883,379,0,Jan,2024
Bazen ansızın gelir😳💈,2024-01-12 19:02:01+00:00,30971,688,0,Jan,2024
Bazen gözünde canlanır 😳💈 @Marulkafaa 🤩,2024-01-09 16:04:46+00:00,105625,1632,0,Jan,2024
Bazen usturanın ciddiyeti😳💈,2024-01-02 15:01:14+00:00,29601,778,0,Jan,2024
Bazen dayanamazsın 😳💈,2023-12-26 17:36:28+00:00,35012,629,0,Dec,2023
ASMR💈 2024 ÜN EN TREND EN KOLAY SAÇ MODELİ MULLET,2023-12-24 14:00:43+00:00,18655,413,0,Dec,2023
Bazen vazgeçemezsin 😳💈,2023-12-21 12:01:12+00:00,18019,541,0,Dec,2023
Bazen düşürürsün 😳💈,2023-12-16 15:23:44+00:00,46971,844,0,Dec,2023
Bazen çıkamazsın 😳💈,2023-12-06 14:59:54+00:00,59243,1215,0,Dec,2023
Bazen oturmayı öğrenirsin 😳💈,2023-12-01 14:37:12+00:00,57866144,537498,0,Dec,2023
Bazen alev atarsın😳💈,2023-11-26 17:24:48+00:00,76464,1160,0,Nov,2023
Bazen müşterinin istediği olur😳💈,2023-11-20 17:48:24+00:00,71419,1553,0,Nov,2023
BU DEĞİŞİM SAYESİNDE KAYBETTİĞİ GENÇLİĞİNİ GERİ KAZANDI!!? & HE GAIN AGAIN HIS YOUTH THAT HE LOST,2023-11-17 15:00:37+00:00,806958,6680,0,Nov,2023
Bazen çağ atlarsın😳💈,2023-10-30 20:12:11+00:00,60548,1773,0,Oct,2023
Bazen kaymak gibi kesersin😳💈,2023-10-26 16:13:08+00:00,71936,2041,0,Oct,2023
Bazen sende manikür yaptırırsın 😳💈,2023-10-23 16:15:31+00:00,39986,1190,0,Oct,2023
Bazen olamazsın 😳💈,2023-10-16 15:06:12+00:00,178658,3539,0,Oct,2023
Bazen göstermeden duramazsın 😳💈,2023-10-10 14:36:10+00:00,83073,1459,0,Oct,2023
DEPRESYONA GİRMİŞ ADAM SAÇ MODELİ!!?,2023-10-07 14:13:27+00:00,19118,334,0,Oct,2023
Bazen uçlarından aldırmak istersin 😳💈,2023-09-29 15:32:05+00:00,66504,1577,0,Sep,2023
Bazen kim kesti bu saçı 😳💈,2023-09-14 17:48:44+00:00,102991,2433,0,Sep,2023
Bazen kazıdık makaslarla 😳💈 @YouTube 🤩 1m 🙏🏻,2023-09-11 18:10:17+00:00,97361,2876,0,Sep,2023
Bazen saçlarla konuşursun 😳💈,2023-08-23 14:06:57+00:00,92749,2197,0,Aug,2023
Bazen maksimum doğum günü süprizi 😳🥳💈 en güzel hediye @YouTube  1m plaketi 🤩 teşekkürler🫶🏻,2023-08-21 17:39:17+00:00,117416527,879259,0,Aug,2023
Bazen eski haline dönmek istemezsin 😳💈,2023-08-17 18:38:38+00:00,159582,4169,0,Aug,2023
Bazen uyarman gerek 😳💈,2023-08-16 16:09:55+00:00,71508,2705,0,Aug,2023
Bazen yanlış bağlarsın 😳💈,2023-08-14 16:07:41+00:00,25432476,314860,0,Aug,2023
POPÇU BERKAY GİBİ GELDİ TOPÇU BERKAY GİBİ GİTTİ!!?,2023-08-09 17:00:23+00:00,21535,467,0,Aug,2023
Bazen model renk aynısını istersin 😳💈,2023-08-04 17:22:12+00:00,144122,3748,0,Aug,2023
Bazen aradığını bulursun 😳💈,2023-08-03 18:55:41+00:00,74184,2053,0,Aug,2023
Bazen #antalyaspor 🤩,2023-08-01 18:15:37+00:00,57417,1625,0,Aug,2023
Bazen denemeye değer😳💈,2023-07-30 15:59:40+00:00,96921,3192,0,Jul,2023
Bazen özel damat tıraşı 😳💈,2023-07-14 15:13:04+00:00,93004,2881,0,Jul,2023
Bazen 1m plaketini beklersin 😳💈,2023-07-05 14:21:27+00:00,50868,1798,0,Jul,2023
Bazen yanan sen olursun 😳💈,2023-07-04 15:26:56+00:00,92093,1671,0,Jul,2023
Bazen bunlar var 😳💈,2023-06-29 09:04:46+00:00,98148,2535,0,Jun,2023
Bazen 3 e vurmak zorunda kalırsın 😳💈,2023-06-27 18:34:40+00:00,132187,2943,0,Jun,2023
Bazen keser bakarsın 😳💈,2023-06-23 17:20:53+00:00,72991,2006,0,Jun,2023
BUNA GERÇEKTEN İHTİYACI VARMIŞ! RESMEN EVRİM GEÇİRDİ!😯 | ASMR BARBER,2023-06-19 16:20:32+00:00,258351,2476,0,Jun,2023
Bazen açmaman gerekir 😳💈,2023-06-17 18:27:07+00:00,85974,1848,0,Jun,2023
Bazen benzeteceğin kişi bellidir 😳💈,2023-06-13 15:08:37+00:00,564123,14125,0,Jun,2023
Bazen yanlış yıkatırsın 😳💈,2023-06-03 17:47:23+00:00,16361513,238458,0,Jun,2023
Bazen beğenmek zorundasındır 😳💈,2023-06-02 14:43:47+00:00,138967,5390,0,Jun,2023
Bazen emeğinin karşılığını alırsın 😳💈,2023-05-29 16:25:34+00:00,134148,4786,0,May,2023
Bazen yanlış oturursun 😳💈,2023-05-22 22:24:43+00:00,507570332,6850741,0,May,2023
Bazen duruş önemli 😳💈,2023-05-18 16:54:52+00:00,639250,10561,0,May,2023
Bazen rahatlarsın 😳💈,2023-05-17 13:56:31+00:00,144865,5296,0,May,2023
Bazen yargılamadan önce düşün 😳💈,2023-05-15 17:38:54+00:00,3443350,65060,0,May,2023
SAÇ DÖKÜLMELERİNE KARŞI SAÇLARINI KAZITTI!!? /ASMR BARBER/,2023-05-13 19:37:37+00:00,42717,655,0,May,2023
Bazen hayal edersin 😳💈,2023-05-11 14:45:13+00:00,103600,2477,0,May,2023
Bazen zamanın nasıl geçtiğini anlamazsın 😳💈,2023-05-03 18:29:48+00:00,105454,3120,0,May,2023
Bazen bir araya getirirsin 😳💈,2023-05-02 23:17:13+00:00,86589,2834,0,May,2023
DÜĞÜN İÇİN 7 YILLIK SAÇLARINA VEDA ETTİ!!? & HE HAS CUT HİM 7 YEARS HAİR BECAUSE OF WEDDİNG,2023-04-24 20:00:38+00:00,67653,1158,0,Apr,2023
Bazen aklına o gelir 😳💈,2023-04-12 21:33:27+00:00,103658,2465,0,Apr,2023
Bazen yıkarlar 😳💈,2023-03-24 18:18:31+00:00,126960,2708,0,Mar,2023
DÜZ VE UZUN SAÇLARI KESİNCE ORTAYA BONUS ÇIKTI!!?,2023-03-18 09:00:22+00:00,26518,600,0,Mar,2023
AYNAYA BAKMAYA BAKMAYA KORKAR HALDEYDİ!!?,2023-03-12 09:00:19+00:00,32646,755,0,Mar,2023
Bazen 6 yıllık saçları icardi modeline feda etti 😳💈,2023-03-07 19:57:43+00:00,109520,2524,0,Mar,2023
SOKAKTA YAŞAYAN ADAM ŞİMDİ HOLLYWOOD'A ADIM ATIYOR!!?,2023-03-02 15:30:09+00:00,936192,11921,0,Mar,2023
Bazen 🔥👂,2023-02-27 17:03:00+00:00,130341,2803,0,Feb,2023
Bazen 👍🏻😳💈,2023-02-22 15:30:31+00:00,185071,8137,0,Feb,2023
MAKASLA SAKAL KESTİRMEK İÇİN DUBAİ'DEN GELDİ!!? & COME FROM DUBAI TO CUT A BEARD WITH SCISSORS,2023-02-20 18:27:08+00:00,58867,996,0,Feb,2023
6 YILLIK SAÇLARI İCARDİ MODELİNE FEDA ETTİ!!? & HE GAVE UP 6 YEARS HAIR FOR ICARDI'S STYLE,2023-02-05 09:00:11+00:00,54669,1072,0,Feb,2023
Bazen aşkın olayım 😳💈 #icardi 🤩,2023-02-04 09:31:10+00:00,352328,6724,0,Feb,2023
Bazen yapamazsın derler 😳💈,2023-02-02 18:31:05+00:00,101572,3758,0,Feb,2023
Bazen special 😳💈,2023-01-30 20:23:00+00:00,128685,5348,0,Jan,2023
Bazen havalı girersin 😳💈,2023-01-26 17:17:42+00:00,165582,5870,0,Jan,2023
Bazen yanlış anlarsın 😳💈,2023-01-25 14:22:52+00:00,118548,4203,0,Jan,2023
Bazen gözlerini kaçıramazsın 😳💈,2023-01-24 15:00:16+00:00,153877,3166,0,Jan,2023
Bazen uçlarından alırsın 😳💈,2023-01-21 14:27:50+00:00,102176,1924,0,Jan,2023
Bazen kıyarsın 😳💈,2022-12-26 19:01:54+00:00,170244,4621,0,Dec,2022
Bazen yeni şubede ilk tıraşı sen olursun 😳💈,2022-12-22 14:25:10+00:00,113636,4354,0,Dec,2022
Bazen yürümeye devam edersin 😳💈,2022-12-16 16:39:45+00:00,95531,3185,0,Dec,2022
Bazen yola çıkarsın 😳💈,2022-12-13 15:10:56+00:00,98250,3644,0,Dec,2022
Bazen 61😳💈,2022-12-07 16:44:59+00:00,8539112,226203,0,Dec,2022
Bazen sinirleriyle oynarsın 😳💈,2022-11-30 11:35:17+00:00,89316,2439,0,Nov,2022
Bazen kendine bir yol çizersin 😳💈,2022-11-29 12:38:57+00:00,94037,1707,0,Nov,2022
Bazen kendini tutamazsın 😳💈,2022-11-28 13:55:32+00:00,92590,2557,0,Nov,2022
KURT ADAMA DÖNÜŞMEK ÜZEREYKEN İNSANA ÇEVİRDİK!!?,2022-11-20 09:00:32+00:00,28996,598,0,Nov,2022
Bazen ters köşe 😳💈,2022-11-19 15:49:01+00:00,71543,2320,0,Nov,2022
Bazen emek ister 😳💈,2022-11-18 20:31:10+00:00,84496,2502,0,Nov,2022
Bazen icardiiii 😳💈,2022-11-17 15:37:52+00:00,60571,1324,0,Nov,2022
"İCARDİNİN HAYRANIYIM DEDİ ONU İCARDİ YAPTIK! & HE WAS A ICARDI'S FAN, WE TURNED HIM ICARDI'S HIMSELF",2022-11-16 14:59:56+00:00,32997,562,0,Nov,2022
Bazen güzel olaylara doğru yürürsün 😳💈,2022-11-15 13:59:36+00:00,68616,2809,0,Nov,2022
Bazen sonrası 😳💈,2022-11-14 15:44:13+00:00,40384,1458,0,Nov,2022
Bazen tek derdin saç kestirmek olur 😳💈,2022-11-12 15:48:37+00:00,129964,5580,0,Nov,2022
KALEM SATAN GENÇ HAZİNE BULDU !? & YOUNG PEOPLE SELLING PENS FOUND TREASURE !,2022-11-11 15:30:11+00:00,20216,514,0,Nov,2022
Bazen doğrular da yanıltır 😳💈,2022-11-11 14:05:17+00:00,96941,1636,0,Nov,2022
Bazen değişim cesaret ister 😳💈,2022-11-04 12:17:30+00:00,95601,2610,0,Nov,2022
Bazen bütün tuşlara basarsın 😳💈,2022-11-02 15:23:32+00:00,63034,1488,0,Nov,2022
SAÇ SAKAL ESTETİĞİ YAPTIK!!? & WE DID HIM HAIR AND BEARD PLASTIC SURGERY,2022-10-28 16:52:20+00:00,24625,606,0,Oct,2022
Bazen boyunda büyük kararlar alırsın 😳💈,2022-10-26 16:38:31+00:00,82727,3294,0,Oct,2022
HAMİLE KARISINI KIRMADI VE SAÇLARA VEDA ETTİ!!? & HE LISTEN TO HIS WIFE AND SAID GOODBYE TO HIS HAIR,2022-10-22 21:00:09+00:00,28299,621,0,Oct,2022
Bazen gözler anlatır 😳💈,2022-10-21 15:30:02+00:00,64882,2832,0,Oct,2022
"BU TIRAŞI YAPAN KÖR , YAPTIRAN DA AŞIK OLDU!!?",2022-10-18 15:24:32+00:00,13429,356,0,Oct,2022
Bazen gerçek olduğuna inanamazsın 😳💈,2022-10-16 12:47:46+00:00,41751,1323,0,Oct,2022
ADAMIN KAFAYA UZAYLI İNDİRDİK!? & WE LANDED ON HIS HAD A ALIEN ?!,2022-10-12 15:00:12+00:00,13266,318,0,Oct,2022
Bazen takılır kalırsın 😳💈,2022-10-11 12:26:26+00:00,65862,1925,0,Oct,2022
Bazen manzaraya karşı 😳💈,2022-10-10 16:22:33+00:00,16355684,740188,0,Oct,2022
Bazen çeker bırakırsın 😳💈,2022-10-08 10:10:51+00:00,39625,1145,0,Oct,2022
BU SAÇ MODELİNİ FÖN ÇEKMEDEN KULLANAMAZSIN!! & WİTHOUT BLOW DRİYİNG YOU CAN'T USE THİS HAİRSTYLE,2022-10-05 14:09:34+00:00,16111,456,0,Oct,2022
KENDİNİ SALMIŞ BİR ÇOCUĞA NEFES ALDIRDIK!!? & WE GET RID OF HIS MESSY LOOK!!,2022-10-02 09:00:06+00:00,15902,462,0,Oct,2022
Bazen yön verirsin 😳💈,2022-09-30 09:13:35+00:00,98306,3891,0,Sep,2022
ÖLÇTÜK BİÇTİK EN ÇILGIN MODELİ TASARLADIK!! & WE DO IT CRAZIEST MODEL EVER,2022-09-28 16:07:44+00:00,121549,1550,0,Sep,2022
Bazen saçın altından şeytan çıkar 😳💈,2022-09-27 19:37:05+00:00,70989,2883,0,Sep,2022
Bazen kurtarırsın 😳💈,2022-09-26 19:50:28+00:00,328408,8893,0,Sep,2022
EVSİZ AMCANIN ÇATIDA TIRAŞI!!? (HAYALDİ GERÇEK OLDU) & WE GAVE HOMELESS A HAIRCUT ON ROOFTOP,2022-09-25 09:00:03+00:00,108944,2182,0,Sep,2022
Bazen şaşırırsın 😳💈,2022-09-24 20:00:27+00:00,64099,1509,0,Sep,2022
Bazen babayı gençliğine götürürsün 😳💈,2022-09-23 17:46:21+00:00,672747,16750,0,Sep,2022
BEKLENMEDİK BİR ANDA SAÇINI KESTİRME KARARI ALDI!!? (UZUN SAÇIN ÖMRÜ KISA SÜRDÜ),2022-09-22 15:12:18+00:00,25196,667,0,Sep,2022
Bazen aradığın boyayı bulursun 😳💈,2022-09-20 17:10:34+00:00,54817,3282,0,Sep,2022
SAÇININ ALTINDAN ŞEYTAN ÇIKTI!!? & HE HIDING A DEVIL UNDER HIS HAIR!,2022-09-18 09:00:24+00:00,17120,524,0,Sep,2022
40 YILDIR BERBERİM BÖYLE BİR DEĞİŞİM GÖRMEDİM!?! & I HAVEN'T SEEN SUCH A CHANGE İN 40 YEARS!!,2022-09-14 14:00:07+00:00,55828,1152,0,Sep,2022
"BU SAÇ BABAMI GENÇLİĞİNE GÖTÜRDÜ!!? (80LER, 90LAR) & THIS HAIRCUT TURN BACK OUR FATHER THE HIS YOUTH",2022-09-11 09:00:08+00:00,40090,874,0,Sep,2022
Bazen denersin 😳💈,2022-09-09 18:44:55+00:00,60253,2193,0,Sep,2022
EKİBİMDEN EN GENÇ KALFAYA TIRAŞ OLDUM!!? (DAHA 16 YAŞINDAA!!) & HE IS ONLY 16 YEARS OLD BARBER !!?,2022-09-07 15:27:01+00:00,114451,2069,0,Sep,2022
BAZEN AÇIM DAYIYI BULURSUN 😳💈,2022-09-02 16:12:29+00:00,186521,7282,0,Sep,2022
KADINLARIN BAYILDIĞI SAÇ RENGİNİ YAPTIK!! | WOMEN'S FAVORITE HAIR COLOR ON MEN !,2022-08-28 09:00:16+00:00,15176,529,0,Aug,2022
KAFASI ÇOK KARIŞIKTI ARTIK DÜM DÜZ!! | CURLY HAIR? NO PROBLEM!,2022-08-24 15:00:08+00:00,13630,443,0,Aug,2022
"ZATEN YAKIŞIKLIYDI DAHA YAKIŞIKLI OLDU!!? & HE WAS ALREADY HANDSOME, BECOME MORE HANDSOME / ASMR💈",2022-08-21 11:06:34+00:00,18761,557,0,Aug,2022
Bazen sulu şaka yaparsın 😳💈,2022-08-20 14:26:05+00:00,72648,1756,0,Aug,2022
BAZEN GERGİN 😳💈,2022-08-18 15:15:23+00:00,61563,1292,0,Aug,2022
ASMR💈KOCA SAKAL TIRAŞA GELDİ ! | BIG BEARD IS HERE !,2022-08-17 15:03:48+00:00,41147,893,0,Aug,2022
AÇIM DAYININ HİKAYESİNİ ÖĞRENDİK!!? & WE HOST THE HOMELESS MAN AND GIVE HIM A GOOD DAY,2022-08-14 11:00:13+00:00,116131,2795,0,Aug,2022
MAĞARA ADAMINDAN CENTİLMENE DÖNÜŞÜM ! | HOW TO CHANGE CAVEMAN TO GENTLEMAN ?,2022-08-10 15:00:21+00:00,23424,693,0,Aug,2022
Bazen yaşamadan bilemezsin 😳💈,2022-08-08 08:34:54+00:00,65513,1673,0,Aug,2022
ASMR 💈GELECEĞE YÖN VERECEK SAÇ MODELİ (2049) | HAIRSTYLE THAT COME FROM THE FUTURE (2049),2022-08-07 09:00:29+00:00,36566,902,0,Aug,2022
Bazen Olması Gereken Yapılır😳💈 #teambarberstown #barberstowntv #barberstown,2022-08-05 17:19:20+00:00,61310,2386,0,Aug,2022
10 YILLIK SAÇLARIN ALTINDAN NE ÇIKTI ? | WHAT IS HE HIDING HIS 10 YEARS OLD HAIRS?,2022-08-03 15:00:42+00:00,126860,1598,0,Aug,2022
ASMR 💈SAÇ TIRAŞI BİR İNSANI NE KADAR DEĞİŞTİREBİLİR ? (İNANILMAZ DEĞİŞİM) | AMAZING CHANGE !,2022-07-31 09:00:01+00:00,35699,752,0,Jul,2022
Bazen Before & After 😳💈,2022-07-29 16:48:13+00:00,52553,1548,0,Jul,2022
ASMR💈UZUN SAÇLARINI KESTİREREK HAYATININ HATASINI MI YAPTI ? | DID HE CHOOSE THE RIGHT DECISION ?,2022-07-27 15:00:11+00:00,82234,1550,0,Jul,2022
Bazen sersemletir 😳💈 #teambarberstown #barberstowntv #barberstown,2022-07-23 15:55:27+00:00,60080,2644,0,Jul,2022
Bazen OYUN oynarsın 😳💈,2022-07-16 17:36:26+00:00,72565,3436,0,Jul,2022
BİRBİRİNE GİRMİŞ SAÇLARA NE Mİ OLDU!!? & WHAT HAPPENED TO HIS HAİR THAT WAS TANGLED LIKE THAT!!?,2022-07-10 09:00:21+00:00,119425,1733,0,Jul,2022
Bazen ya bi değişiklik olsun bıktık ya 😳💈 #teambarberstown #barberstowntv #barberstown 👈🏻,2022-07-06 16:29:17+00:00,62522,2476,0,Jul,2022
ASMR BARBER 💈10 YILLIK SAÇLARINDAN VAZ MI GEÇTİ ? | HAS HE GIVEN UP ON HIS 10 YEARS OLD HAIR ?,2022-07-03 09:00:12+00:00,99261,1998,0,Jul,2022
HİNT PRENSİNİN İNANILMAZ DEĞİŞİMİ | THE AMAZING CHANGE OF THE RAJA OF INDIA,2022-06-29 15:00:13+00:00,28534,763,0,Jun,2022
Bazen uzatmaya gerek yok 😳💈 #teambarberstown #barberstown  #barberstowntv,2022-06-28 18:02:11+00:00,1857416,74970,0,Jun,2022
İLK ALMAN İMPARATORU 1.WİLHELM TIRAŞI | FIRST GERMAN KAISER I.WILHELM SHAVE,2022-06-26 09:00:30+00:00,37778,813,0,Jun,2022
Bazen dublör kullanırsın😳💈 #teambarberstown #barberstown #barberstowntv,2022-06-25 15:59:52+00:00,3674124,80600,0,Jun,2022
Bazen tam istediğin gibi 😳💈#teambarberstown #barberstown #barberstowntv,2022-06-24 15:25:18+00:00,105197,3758,0,Jun,2022
Bazen benzetirsin 😳💈,2022-06-21 14:25:49+00:00,48100,2416,0,Jun,2022
Bazen geride bırakırsın 😳💈,2022-06-18 17:10:42+00:00,50571,2422,0,Jun,2022
Bazen tıraş uzun sürer😳💈,2022-06-17 14:25:15+00:00,64216,1455,0,Jun,2022
BİR GÜNDE HAYAT NASIL DEĞİŞİR! & HOW CAN YOU CHANGE HOMELESS MAN'S LİFE IN A ONE DAY?,2022-06-15 15:00:06+00:00,57123,1996,0,Jun,2022
Bazen tek atarsın 😳💈,2022-06-13 18:05:53+00:00,27696934,520580,0,Jun,2022
KAFASINDAKİ YARA İZİNDEN KRAL YOLU YAPTIK | WE TURNED HIS SCAR TO PERSIAN ROYAL ROAD,2022-06-12 10:01:53+00:00,20660,579,0,Jun,2022
Bazen dünya boştur lo 😳💈,2022-06-10 16:58:42+00:00,71138,1370,0,Jun,2022
Bazen bunu yaşarsın 😳💈,2022-06-09 18:27:31+00:00,63008,1653,0,Jun,2022
Bazen kalanlarda gider!😳💈,2022-06-07 14:36:08+00:00,93301,3396,0,Jun,2022
Bazen küçüğü büyük kesersin 😳💈,2022-06-03 14:55:07+00:00,78031,3340,0,Jun,2022
YÜKSEK GEÇİŞ TIRAŞI NASIL YAPILIR 💈 HOW TO DO A HIGH FADE,2022-06-01 15:00:03+00:00,29725,816,0,Jun,2022
Bazen beklediğine değer 😳💈,2022-05-31 14:20:50+00:00,94361,4167,0,May,2022
Bazen yaşa değil icraata bakarsın 😳💈,2022-05-26 17:11:24+00:00,79495,3399,0,May,2022
EVSİZ İKİ KARDEŞ YILLAR SONRA BİR ARADA ! | TWO HOMELESS BROTHERS ARE TOGETHER AGAIN AFTER YEARS,2022-05-25 16:02:17+00:00,57913,1640,0,May,2022
Bazen çift çizgi 😳💈,2022-05-24 16:29:17+00:00,92692,2211,0,May,2022
